seed,task_name,task_id,num_simulations,log_probs_ratio_mean,log_probs_auto_mean,log_corr,exp_corr
2,two_moons,3,300,2.7299158573150635,2.5623838901519775,0.9714417552917431,0.9435568747166742
2,two_moons,3,1000,3.0774037837982178,2.9888529777526855,0.9613831173299364,0.887833137818513
2,two_moons,3,3000,3.3508527278900146,3.122058868408203,0.9220258741053374,0.8232517302708581
2,two_moons,3,10000,3.8190550804138184,3.5672991275787354,0.9264897629461022,0.8698649230025177
2,two_moons,4,100,2.194934368133545,2.056938648223877,0.9428775576643901,0.8862453423365315
2,two_moons,4,300,2.6381454467773438,2.879746913909912,0.9474786488091209,0.8946937145089177
2,two_moons,4,1000,2.9221668243408203,2.9391591548919678,0.9237458931963555,0.8369846860252497
2,two_moons,4,3000,3.129209280014038,3.3136019706726074,0.935254470005177,0.9090534986961972
2,two_moons,4,10000,3.2895069122314453,3.4346842765808105,0.8601305971639973,0.8685244550365658
2,two_moons,5,100,2.3810510635375977,2.154468059539795,0.9624477100555796,0.9165192818211584
2,two_moons,5,300,3.0666823387145996,3.010606050491333,0.9390119163719624,0.8239574500193055
2,two_moons,5,1000,4.0540361404418945,4.042630672454834,0.956988847529532,0.9507776393685309
2,two_moons,5,3000,3.3381433486938477,3.893568277359009,0.8209888667873809,0.47870811271195657
2,two_moons,5,10000,3.54245662689209,4.037045001983643,0.9221991124650044,0.863410731147588
3,two_moons,3,100,2.0989270210266113,1.832443356513977,0.9825185835381324,0.9577531558030655
3,two_moons,3,300,3.0916450023651123,2.931264877319336,0.9522678277223797,0.881489206441157
3,two_moons,3,1000,3.146383285522461,2.939631938934326,0.9374452741657149,0.7690745124020456
3,two_moons,3,3000,3.714808940887451,3.4801297187805176,0.9595434209114518,0.9381007181440327
3,two_moons,3,10000,3.399305582046509,3.406074285507202,0.91182236870929,0.7197934639969156
3,two_moons,4,100,2.7193503379821777,2.4645869731903076,0.9484853042129686,0.9374565503821028
3,two_moons,4,300,2.8539040088653564,2.7611446380615234,0.9397483859212014,0.7993452218448523
3,two_moons,4,1000,3.012796401977539,3.015249729156494,0.9306363444678185,0.7492557721589201
3,two_moons,4,3000,3.1877408027648926,3.185420036315918,0.9279330153855303,0.9120078963707068
3,two_moons,4,10000,3.277801513671875,3.4196605682373047,0.9097082365960688,0.8004822095968406
3,two_moons,5,100,3.2265231609344482,3.0015082359313965,0.9597525712490166,0.8873595639765922
3,two_moons,5,300,4.196502208709717,3.4462873935699463,0.935837435559712,0.8310208186471705
3,two_moons,5,1000,3.249295473098755,3.599478006362915,0.9353571584987176,0.8086149194565745
3,two_moons,5,3000,3.6031601428985596,3.9216156005859375,0.9326690404169573,0.8882978558158351
3,two_moons,5,10000,3.824728488922119,4.085172653198242,0.8809382583887553,0.8614630919003319
4,two_moons,3,100,2.433103322982788,2.3575279712677,0.9686582928316476,0.9168481807629306
4,two_moons,3,300,2.5073344707489014,2.3503379821777344,0.9752747540962531,0.9290284397018195
4,two_moons,3,1000,3.443558692932129,3.306196451187134,0.935478399309881,0.8300677327937285
4,two_moons,3,3000,3.5622737407684326,3.3911798000335693,0.9253092248555751,0.9366774620509409
4,two_moons,3,10000,3.7657082080841064,3.4954323768615723,0.9331176858202849,0.8727591566186558
4,two_moons,4,100,2.2360897064208984,2.169221878051758,0.9268697189694141,0.8754309549203066
4,two_moons,4,300,2.7834012508392334,2.6631405353546143,0.9384422037464084,0.9052793597230641
4,two_moons,4,1000,3.1403846740722656,3.172149896621704,0.9080638457229908,0.8070568960909023
4,two_moons,4,3000,3.250065326690674,3.5378541946411133,0.9380543580506925,0.8395605242358035
4,two_moons,4,10000,3.344740152359009,3.394704580307007,0.8341972909594144,0.8304910701229331
4,two_moons,5,100,2.466801643371582,2.858736991882324,0.8885837992500504,0.7619623446639602
4,two_moons,5,300,4.1573805809021,3.3224475383758545,0.9533573937127863,0.8419229819753165
4,two_moons,5,1000,3.3218438625335693,3.5916483402252197,0.8692332634626815,0.8468748505787241
4,two_moons,5,3000,3.9095163345336914,3.8470523357391357,0.8753498108030462,0.8492000429161801
4,two_moons,5,10000,3.9243991374969482,3.9690260887145996,0.8913562831563624,0.779511336289008
0,gaussian_linear,3,100,0.7867270708084106,1.4371880292892456,0.7801842184768016,0.6391297965211339
0,gaussian_linear,3,300,0.6561728715896606,1.2605499029159546,0.8585217849173815,0.6338226380696541
0,gaussian_linear,3,1000,0.07388482242822647,1.270218014717102,0.8939469735586315,0.6940555311149624
0,gaussian_linear,3,3000,0.7102597951889038,1.2602006196975708,0.815360004936167,0.7502137158528097
0,gaussian_linear,3,10000,0.1680145114660263,1.337241291999817,0.9250589780742545,0.696296020375236
0,gaussian_linear,4,100,-0.21462197601795197,1.5121840238571167,0.8283461843259077,0.5385050428232518
0,gaussian_linear,4,300,0.8455139398574829,1.117722511291504,0.852349794311272,0.6790701138922435
0,gaussian_linear,4,1000,0.6008274555206299,1.4378511905670166,0.8297087756891749,0.6405381596397225
0,gaussian_linear,4,3000,0.27322593331336975,1.4800221920013428,0.80904760018522,0.6295415549786617
0,gaussian_linear,4,10000,0.11570984870195389,1.3147567510604858,0.8186688693043805,0.6266154682855175
0,gaussian_linear,5,100,0.8541802763938904,1.518586277961731,0.8451524465418074,0.581325338618622
0,gaussian_linear,5,300,0.8037182092666626,1.4927901029586792,0.8486631753882489,0.7249631761042933
0,gaussian_linear,5,1000,0.5868988037109375,1.294395923614502,0.8640358801637459,0.6890424054921768
0,gaussian_linear,5,3000,0.6317854523658752,1.4136598110198975,0.8620213206786979,0.7075877148435212
0,gaussian_linear,5,10000,0.7641592025756836,1.3698081970214844,0.8677832751354676,0.6295227519031938
1,gaussian_linear,3,100,0.3418073356151581,1.1318458318710327,0.821527634242205,0.4843625422411044
1,gaussian_linear,3,300,0.4866834580898285,1.414123773574829,0.849117227768271,0.6561271362198781
1,gaussian_linear,3,1000,0.5246354937553406,1.4512287378311157,0.892231694377773,0.6899315105167013
1,gaussian_linear,3,3000,0.3418446183204651,1.3926986455917358,0.8686229201174274,0.6626652289141546
1,gaussian_linear,3,10000,0.02002526819705963,1.3057031631469727,0.8564928368475176,0.7060892062099927
1,gaussian_linear,4,100,-0.8876433372497559,0.803360104560852,0.873865233170551,0.6623785691649265
1,gaussian_linear,4,300,0.10318710654973984,1.2276818752288818,0.7906884562748482,0.47816168258751585
1,gaussian_linear,4,1000,1.2716021537780762,1.4376763105392456,0.8539011862787393,0.6237813961049947
1,gaussian_linear,4,3000,0.4428699314594269,1.505734920501709,0.843088413660093,0.5915548937044881
1,gaussian_linear,4,10000,0.5044943690299988,1.2959163188934326,0.8584021210366497,0.7077280529390741
