seed,task_name,task_id,num_simulations,time_logprob_ratio,time_logprob_auto,time_logprob_ratio_cumsum,time_logprob_auto_cumsum
3,two_moons,4,10000,"[4.81292987 0.43935823 0.45886397 0.41827655 0.44874597 0.42601752
 0.43680978 0.41539741 0.43132615 0.42400646 0.41087031 0.42055869
 0.41378617 0.43219519 0.42507482 0.42025661 0.42789936 0.44216752
 0.43939042 0.4518671 ]","[2.84360361 2.80885267 2.68151736 2.75761271 2.78371429 2.84689116
 2.74129057 2.79976559 2.85163546 2.56155324 2.54336166 2.75795341
 2.81598401 2.67530298 2.74056435 2.71786308 2.79474378 2.85498452
 2.83371806 2.78701973]","[ 4.81292987  5.2522881   5.71115208  6.12942863  6.57817459  7.00419211
  7.44100189  7.8563993   8.28772545  8.71173191  9.12260222  9.54316092
  9.95694709 10.38914227 10.81421709 11.23447371 11.66237307 12.10454059
 12.54393101 12.99579811]","[ 2.84360361  5.65245628  8.33397365 11.09158635 13.87530065 16.72219181
 19.46348238 22.26324797 25.11488342 27.67643666 30.21979833 32.97775173
 35.79373574 38.46903872 41.20960307 43.92746615 46.72220993 49.57719445
 52.41091251 55.19793224]"
3,two_moons,5,10000,"[5.62719941 0.41424727 0.419168   0.43048573 0.44120932 0.4206562
 0.42410135 0.44538903 0.43832541 0.44443512 0.45393586 0.43392777
 0.43898869 0.4390533  0.4344604  0.44397354 0.46445012 0.42955709
 0.43046784 0.4164288 ]","[2.89488673 2.90754652 2.76702642 2.79066205 2.79914308 2.74401021
 3.08159041 2.59880567 2.55097055 2.8099823  2.73496222 2.65513468
 2.72028685 2.70227242 2.91702342 2.72232485 2.75450897 2.7602191
 2.70619965 2.78095698]","[ 5.62719941  6.04144669  6.46061468  6.89110041  7.33230972  7.75296593
  8.17706728  8.62245631  9.06078172  9.50521684  9.9591527  10.39308047
 10.83206916 11.27112246 11.70558286 12.1495564  12.61400652 13.0435636
 13.47403145 13.89046025]","[ 2.89488673  5.80243325  8.56945968 11.36012173 14.1592648  16.90327501
 19.98486543 22.58367109 25.13464165 27.94462395 30.67958617 33.33472085
 36.0550077  38.75728011 41.67430353 44.39662838 47.15113735 49.91135645
 52.6175561  55.39851308]"
4,two_moons,3,10000,"[3.45242906 0.4221313  0.42965508 0.43203664 0.43113303 0.44215369
 0.42569923 0.42855692 0.4094162  0.45599651 0.41514087 0.44529176
 0.44237494 0.42656302 0.43563461 0.41650414 0.42925382 0.42961597
 0.42341018 0.45191669]","[2.82701588 2.98673868 2.87969184 2.77261591 2.83864546 2.71571469
 2.60297179 2.62698126 2.72671127 2.86714864 2.71500421 2.75154662
 2.80871701 2.70460248 2.80338001 2.76789165 2.75008845 2.75401568
 2.77218056 2.78800797]","[ 3.45242906  3.87456036  4.30421543  4.73625207  5.1673851   5.60953879
  6.03523803  6.46379495  6.87321115  7.32920766  7.74434853  8.18964028
  8.63201523  9.05857825  9.49421287  9.91071701 10.33997083 10.7695868
 11.19299698 11.64491367]","[ 2.82701588  5.81375456  8.6934464  11.46606231 14.30470777 17.02042246
 19.62339425 22.25037551 24.97708678 27.84423542 30.55923963 33.31078625
 36.11950326 38.82410574 41.62748575 44.3953774  47.14546585 49.89948153
 52.67166209 55.45967007]"
4,two_moons,4,10000,"[3.33556485 0.43245578 0.42943573 0.44196916 0.43086696 0.41530132
 0.4382894  0.41251588 0.44992447 0.46108413 0.46590853 0.43992662
 0.42869449 0.44735885 0.43767428 0.43810201 0.43394566 0.41744256
 0.43511701 0.42981005]","[3.01605773 2.82832742 2.74041867 2.6635704  2.740659   2.55266833
 2.59790802 2.65256906 2.711833   2.72182918 2.77836704 2.7903688
 2.8546207  2.78115249 2.73741627 2.67267013 2.7642467  2.70761609
 2.68998265 2.7539959 ]","[ 3.33556485  3.76802063  4.19745636  4.63942552  5.07029247  5.4855938
  5.9238832   6.33639908  6.78632355  7.24740767  7.7133162   8.15324283
  8.58193731  9.02929616  9.46697044  9.90507245 10.33901811 10.75646067
 11.19157767 11.62138772]","[ 3.01605773  5.84438515  8.58480382 11.24837422 13.98903322 16.54170156
 19.13960958 21.79217863 24.50401163 27.22584081 30.00420785 32.79457664
 35.64919734 38.43034983 41.16776609 43.84043622 46.60468292 49.31229901
 52.00228167 54.75627756]"
4,two_moons,5,10000,"[4.97846174 0.45288348 0.41516757 0.42845798 0.42683172 0.41617036
 0.44354939 0.43447757 0.46371174 0.4428823  0.44966769 0.42356682
 0.41515923 0.44668436 0.45049691 0.43366718 0.43727303 0.42173839
 0.45079684 0.4154222 ]","[2.78198314 2.77244639 2.82265139 2.56819367 2.60026526 2.62655973
 2.82816243 2.68744206 2.73728275 2.84391928 2.73813748 2.77751803
 2.81431437 2.79525733 2.85558581 2.89142251 2.79414153 2.77549863
 3.02855873 2.70217824]","[ 4.97846174  5.43134522  5.84651279  6.27497077  6.70180249  7.11797285
  7.56152225  7.99599981  8.45971155  8.90259385  9.35226154  9.77582836
 10.19098759 10.63767195 11.08816886 11.52183604 11.95910907 12.38084745
 12.8316443  13.2470665 ]","[ 2.78198314  5.55442953  8.37708092 10.94527459 13.54553986 16.17209959
 19.00026202 21.68770409 24.42498684 27.26890612 30.0070436  32.78456163
 35.598876   38.39413333 41.24971914 44.14114165 46.93528318 49.71078181
 52.73934054 55.44151878]"
0,gaussian_linear,3,10000,"[28.71646094  0.76116824  0.76495194  0.75841379  0.75873566  0.75900745
  0.75694323  0.75738454  0.75856495  0.76068878  0.7582202   0.757833
  0.75694752  0.75759768  0.75724912  0.75680065  0.75857878  0.75813842
  0.75879145  0.75664973]","[29.304425   29.20047641 28.78786516 28.96256375 29.61762309 29.65701103
 29.9322257  29.48309708 29.50694656 30.33928823 29.78445864 29.74939084
 29.53275609 30.13951802 29.86498427 29.70148659 29.75547361 30.54881001
 29.53086185 30.21028304]","[28.71646094 29.47762918 30.24258113 31.00099492 31.75973058 32.51873803
 33.27568126 34.0330658  34.79163074 35.55231953 36.31053972 37.06837273
 37.82532024 38.58291793 39.34016705 40.0969677  40.85554647 41.61368489
 42.37247634 43.12912607]","[ 29.304425    58.50490141  87.29276657 116.25533032 145.87295341
 175.52996445 205.46219015 234.94528723 264.45223379 294.79152203
 324.57598066 354.3253715  383.85812759 413.99764562 443.86262989
 473.56411648 503.31959009 533.8684001  563.39926195 593.60954499]"
0,gaussian_linear,4,10000,"[29.11167574  0.76536965  0.77072716  0.77631664  0.77126241  0.77092719
  0.77143192  0.76947117  0.76929402  0.76898885  0.76923442  0.76998401
  0.7722404   0.77245593  0.77105451  0.77042031  0.7711277   0.76911783
  0.77168536  0.76779771]","[29.93058634 29.76543713 29.16926694 29.95324183 29.57309294 29.82582045
 29.99680352 29.90440059 29.33072495 29.43072772 29.86973238 29.59071565
 29.91489577 30.06942129 29.96503687 29.98843026 29.99016833 30.15557194
 29.870152   30.17466092]","[29.11167574 29.87704539 30.64777255 31.42408919 32.1953516  32.96627879
 33.73771071 34.50718188 35.27647591 36.04546475 36.81469917 37.58468318
 38.35692358 39.12937951 39.90043402 40.67085433 41.44198203 42.21109986
 42.98278522 43.75058293]","[ 29.93058634  59.69602346  88.8652904  118.81853223 148.39162517
 178.21744561 208.21424913 238.11864972 267.44937468 296.8801024
 326.74983478 356.34055042 386.2554462  416.32486749 446.28990436
 476.27833462 506.26850295 536.42407489 566.29422688 596.46888781]"
0,gaussian_linear,5,10000,"[28.97715998  0.77402639  0.77315068  0.77184892  0.77224731  0.77515674
  0.7734673   0.77031708  0.77180791  0.77087855  0.77027392  0.77334142
  0.7752924   0.77201819  0.77108669  0.77111554  0.7732923   0.77088261
  0.77223921  0.77353048]","[29.25266957 29.59145904 29.7752347  29.15153503 29.10640335 29.91722965
 29.78564143 29.21171355 29.44243622 29.45944428 30.30877185 29.43260789
 29.41771841 29.2750051  29.89877844 29.19905162 29.27392387 29.57408786
 29.57180452 30.16491985]","[28.97715998 29.75118637 30.52433705 31.29618597 32.06843328 32.84359002
 33.61705732 34.3873744  35.15918231 35.93006086 36.70033479 37.4736762
 38.2489686  39.0209868  39.79207349 40.56318903 41.33648133 42.10736394
 42.87960315 43.65313363]","[ 29.25266957  58.84412861  88.61936331 117.77089834 146.87730169
 176.79453135 206.58017278 235.79188633 265.23432255 294.69376683
 325.00253868 354.43514657 383.85286498 413.12787008 443.02664852
 472.22570014 501.49962401 531.07371187 560.6455164  590.81043625]"
1,gaussian_linear,3,10000,"[29.01186514  0.77203321  0.77092457  0.76988959  0.77316952  0.7692399
  0.77308178  0.77030754  0.77234459  0.7710166   0.77022433  0.76998711
  0.77076364  0.76968884  0.76740384  0.76805878  0.76845765  0.7776494
  0.77114892  0.76802921]","[29.67309546 29.08111882 28.88984513 29.0509057  29.10485101 29.15888309
 29.94287467 29.64488053 29.47233033 29.6600008  28.96877265 29.46973372
 29.60043502 29.13556623 29.48777676 30.23032093 29.92433167 29.35670733
 29.55757999 29.6287899 ]","[29.01186514 29.78389835 30.55482292 31.32471251 32.09788203 32.86712193
 33.64020371 34.41051126 35.18285584 35.95387244 36.72409678 37.49408388
 38.26484752 39.03453636 39.8019402  40.56999898 41.33845663 42.11610603
 42.88725495 43.65528417]","[ 29.67309546  58.75421429  87.64405942 116.69496512 145.79981613
 174.95869923 204.9015739  234.54645443 264.01878476 293.67878556
 322.64755821 352.11729193 381.71772695 410.85329318 440.34106994
 470.57139087 500.49572253 529.85242987 559.41000986 589.03879976]"
1,gaussian_linear,4,10000,"[28.97812033  0.77831888  0.7760458   0.77599669  0.77951694  0.77736926
  0.76873207  0.77891707  0.76963878  0.76878309  0.76842022  0.77201748
  0.77284694  0.76823163  0.76837945  0.77165723  0.7683146   0.76856327
  0.76844716  0.76955533]","[29.20057821 29.49922085 29.17528725 29.21622539 28.61759233 29.5837152
 29.48281813 28.66431046 29.05445075 29.57808876 29.32204747 29.40875173
 28.83686662 29.01994658 29.33147573 28.8785181  28.91320419 29.30937266
 28.92644978 29.50576973]","[28.97812033 29.75643921 30.53248501 31.30848169 32.08799863 32.86536789
 33.63409996 34.41301703 35.18265581 35.9514389  36.71985912 37.4918766
 38.26472354 39.03295517 39.80133462 40.57299185 41.34130645 42.10986972
 42.87831688 43.64787221]","[ 29.20057821  58.69979906  87.87508631 117.09131169 145.70890403
 175.29261923 204.77543736 233.43974781 262.49419856 292.07228732
 321.39433479 350.80308652 379.63995314 408.65989971 437.99137545
 466.86989355 495.78309774 525.09247041 554.01892018 583.52468991]"
